"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5563","Test3","chromium","Wed May 21 04:11:03 IST 2025","passed","Wed May 21 04:11:08 IST 2025","","Reports.spec.js","",""
"","4332","Test1","chromium","Wed May 21 04:11:01 IST 2025","passed","Wed May 21 04:11:05 IST 2025","","Reports.spec.js","",""
"","60194","Easy Calculation Test","webkit","Wed May 21 04:16:17 IST 2025","broken","Wed May 21 04:17:17 IST 2025","","EasyCalculation.spec.js","",""
"","33809","Bootstrap Dropdown Test","firefox","Wed May 21 04:11:31 IST 2025","broken","Wed May 21 04:12:05 IST 2025","","BootstrapDropdown.spec.js","",""
"","5672","Playwright Locators Test","chromium","Wed May 21 04:10:39 IST 2025","passed","Wed May 21 04:10:45 IST 2025","","PlaywrightLocatorsTest.spec.js","",""
"","8544","Test1","firefox","Wed May 21 04:14:32 IST 2025","passed","Wed May 21 04:14:41 IST 2025","","Reports.spec.js","",""
"","9581","Radio Button Test","webkit","Wed May 21 04:17:10 IST 2025","passed","Wed May 21 04:17:19 IST 2025","","RadioButtonDemo.spec.js","",""
"","11133","Links and Products Test","webkit","Wed May 21 04:16:33 IST 2025","passed","Wed May 21 04:16:44 IST 2025","","LinksAndProductsTest.spec.js","",""
"","9454","Checking Browser Title and URL - Practice Expand Testing","chromium","Wed May 21 04:10:47 IST 2025","passed","Wed May 21 04:10:57 IST 2025","","Practice2.spec.js","",""
"","30870","Test3","firefox","Wed May 21 04:14:19 IST 2025","broken","Wed May 21 04:14:50 IST 2025","","Reports.spec.js","",""
"","10470","YPage screenshot","chromium","Wed May 21 04:11:05 IST 2025","passed","Wed May 21 04:11:16 IST 2025","","YoutubeScreenshot.spec.js","",""
"","35200","Login Test - Practice Expand Testing","firefox","Wed May 21 04:13:44 IST 2025","broken","Wed May 21 04:14:19 IST 2025","","Practice2.spec.js","",""
"","5658","JS Confirm – click Cancel and verify result","chromium","Wed May 21 04:10:41 IST 2025","passed","Wed May 21 04:10:47 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","7955","Page screenshot","firefox","Wed May 21 04:14:42 IST 2025","passed","Wed May 21 04:14:50 IST 2025","","Screenshots.spec.js","",""
"","8979","Handle iframes in Playwright - Drag & Drop","chromium","Wed May 21 04:10:27 IST 2025","passed","Wed May 21 04:10:36 IST 2025","","iFrameTestDemo.spec.js","",""
"","4361","Element screenshot","chromium","Wed May 21 04:11:05 IST 2025","passed","Wed May 21 04:11:09 IST 2025","","Screenshots.spec.js","",""
"","2650","Page screenshot","chromium","Wed May 21 04:11:03 IST 2025","passed","Wed May 21 04:11:05 IST 2025","","Screenshots.spec.js","",""
"","35083","Assertion Test","firefox","Wed May 21 04:11:36 IST 2025","broken","Wed May 21 04:12:11 IST 2025","","Assertions.spec.js","",""
"","2278","has title","chromium","Wed May 21 04:10:23 IST 2025","passed","Wed May 21 04:10:25 IST 2025","","example.spec.js","",""
"","35090","AutoSuggest DropDown - Google Search","firefox","Wed May 21 04:11:35 IST 2025","broken","Wed May 21 04:12:10 IST 2025","","AutoSuggestDropdown.spec.js","",""
"","25479","Checkboxes – In Playwright","chromium","Wed May 21 04:10:11 IST 2025","passed","Wed May 21 04:10:37 IST 2025","","Checkboxes.spec.js","",""
"","30176","Multi Select Dropdown Test","firefox","Wed May 21 04:12:57 IST 2025","broken","Wed May 21 04:13:27 IST 2025","","MultiSelectDropdown.spec.js","",""
"","5724","Checking Browser Title","webkit","Wed May 21 04:15:58 IST 2025","passed","Wed May 21 04:16:04 IST 2025","","00_HomePage.spec.js","",""
"","10015","Playwright Locators Test","webkit","Wed May 21 04:16:42 IST 2025","passed","Wed May 21 04:16:52 IST 2025","","PlaywrightLocatorsTest.spec.js","",""
"","5765","radio button count 1","chromium","Wed May 21 04:10:53 IST 2025","passed","Wed May 21 04:10:59 IST 2025","","RadioButtonCount.spec.js","",""
"","11498","get started link","firefox","Wed May 21 04:12:35 IST 2025","passed","Wed May 21 04:12:47 IST 2025","","example.spec.js","",""
"","13127","Checking Browser URL","firefox","Wed May 21 04:11:34 IST 2025","passed","Wed May 21 04:11:47 IST 2025","","00_Practice.spec.js","",""
"","35072","Opencart Resgister","webkit","Wed May 21 04:16:05 IST 2025","broken","Wed May 21 04:16:40 IST 2025","","BuiltinPractice.spec.js","",""
"","30310","Login Test - Practice Expand Testing","webkit","Wed May 21 04:16:55 IST 2025","broken","Wed May 21 04:17:25 IST 2025","","Practice2.spec.js","",""
"","10442","Playwright Locators Test","firefox","Wed May 21 04:12:59 IST 2025","passed","Wed May 21 04:13:09 IST 2025","","PlaywrightLocatorsTest.spec.js","",""
"","4981","JS Prompt – enter text, click OK, and validate","webkit","Wed May 21 04:16:52 IST 2025","passed","Wed May 21 04:16:57 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","2566","Checking Browser Title and URL - Practice Test Automation","chromium","Wed May 21 04:10:52 IST 2025","passed","Wed May 21 04:10:55 IST 2025","","Practice2.spec.js","",""
"","60087","Easy Calculation Test","chromium","Wed May 21 04:10:18 IST 2025","broken","Wed May 21 04:11:18 IST 2025","","EasyCalculation.spec.js","",""
"","18371","Builtin Locators Test","webkit","Wed May 21 04:15:58 IST 2025","passed","Wed May 21 04:16:17 IST 2025","","BuiltinLocators.spec.js","",""
"","6449","Element screenshot","firefox","Wed May 21 04:15:26 IST 2025","passed","Wed May 21 04:15:32 IST 2025","","Screenshots.spec.js","",""
"","6627","Test1","webkit","Wed May 21 04:17:33 IST 2025","passed","Wed May 21 04:17:40 IST 2025","","Reports.spec.js","",""
"","6651","radio button count 2","webkit","Wed May 21 04:17:04 IST 2025","passed","Wed May 21 04:17:11 IST 2025","","RadioButtonCount.spec.js","",""
"","6249","Checking Browser Title","chromium","Wed May 21 04:10:01 IST 2025","passed","Wed May 21 04:10:08 IST 2025","","00_Practice.spec.js","",""
"","7373","Checking Browser URL","chromium","Wed May 21 04:10:01 IST 2025","passed","Wed May 21 04:10:09 IST 2025","","00_Practice.spec.js","",""
"","8160","Dropdown Test","chromium","Wed May 21 04:10:17 IST 2025","passed","Wed May 21 04:10:25 IST 2025","","DropdownsTest.spec.js","",""
"","7673","PopUps Demo Playwright","chromium","Wed May 21 04:10:45 IST 2025","passed","Wed May 21 04:10:52 IST 2025","","PopupsDemo.spec.js","",""
"","11491","YFull page screenshot","chromium","Wed May 21 04:11:07 IST 2025","passed","Wed May 21 04:11:19 IST 2025","","YoutubeScreenshot.spec.js","",""
"","29064","Checkboxes – In Playwright","webkit","Wed May 21 04:16:08 IST 2025","passed","Wed May 21 04:16:37 IST 2025","","Checkboxes.spec.js","",""
"","13345","Checking Browser URL","firefox","Wed May 21 04:11:23 IST 2025","passed","Wed May 21 04:11:36 IST 2025","","00_HomePage.spec.js","",""
"","21547","YFull page screenshot","webkit","Wed May 21 04:17:42 IST 2025","passed","Wed May 21 04:18:04 IST 2025","","YoutubeScreenshot.spec.js","",""
"","5871","radio button count 1","webkit","Wed May 21 04:17:04 IST 2025","passed","Wed May 21 04:17:10 IST 2025","","RadioButtonCount.spec.js","",""
"","4034","JS Alert – validate alert text and click OK","chromium","Wed May 21 04:10:57 IST 2025","passed","Wed May 21 04:11:01 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","30793","Checking Browser URL","webkit","Wed May 21 04:15:48 IST 2025","broken","Wed May 21 04:16:19 IST 2025","","00_HomePage.spec.js","",""
"","18228","Bootstrap Dropdown Test","webkit","Wed May 21 04:15:50 IST 2025","passed","Wed May 21 04:16:08 IST 2025","","BootstrapDropdown.spec.js","",""
"","9832","YElement screenshot","chromium","Wed May 21 04:11:08 IST 2025","passed","Wed May 21 04:11:17 IST 2025","","YoutubeScreenshot.spec.js","",""
"","8786","JS Prompt – enter text, click OK, and validate","firefox","Wed May 21 04:13:36 IST 2025","passed","Wed May 21 04:13:44 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","14268","Checking Browser URL","chromium","Wed May 21 04:10:02 IST 2025","passed","Wed May 21 04:10:16 IST 2025","","00_HomePage.spec.js","",""
"","30186","Handle iframes in Playwright - Drag & Drop","webkit","Wed May 21 04:16:23 IST 2025","broken","Wed May 21 04:16:53 IST 2025","","iFrameTestDemo.spec.js","",""
"","32819","Hidden Dropdown Test","firefox","Wed May 21 04:12:43 IST 2025","broken","Wed May 21 04:13:16 IST 2025","","HiddenDropdown.spec.js","",""
"","30974","Dropdown FB Test","firefox","Wed May 21 04:12:39 IST 2025","broken","Wed May 21 04:13:10 IST 2025","","FBDropdowns.spec.js","",""
"","5930","Checking Browser Title","webkit","Wed May 21 04:15:44 IST 2025","passed","Wed May 21 04:15:49 IST 2025","","00_Practice.spec.js","",""
"","33807","Checking Browser Title and URL - Practice Expand Testing","firefox","Wed May 21 04:13:30 IST 2025","broken","Wed May 21 04:14:04 IST 2025","","Practice2.spec.js","",""
"","9579","PopUps Demo Playwright","webkit","Wed May 21 04:17:07 IST 2025","passed","Wed May 21 04:17:17 IST 2025","","PopupsDemo.spec.js","",""
"","32911","YElement screenshot","firefox","Wed May 21 04:14:54 IST 2025","broken","Wed May 21 04:15:26 IST 2025","","YoutubeScreenshot.spec.js","",""
"","9985","Reddif Login - Password Alert","firefox","Wed May 21 04:14:03 IST 2025","passed","Wed May 21 04:14:13 IST 2025","","ReddifAlerts.spec.js","",""
"","3018","Checking Browser Title and URL - Practice Test Automation","webkit","Wed May 21 04:17:01 IST 2025","passed","Wed May 21 04:17:04 IST 2025","","Practice2.spec.js","",""
"","6446","Test2","webkit","Wed May 21 04:17:17 IST 2025","passed","Wed May 21 04:17:24 IST 2025","","Reports.spec.js","",""
"","8809","Radio Button Test","chromium","Wed May 21 04:10:55 IST 2025","passed","Wed May 21 04:11:04 IST 2025","","RadioButtonDemo.spec.js","",""
"","14909","Bootstrap Dropdown Test","chromium","Wed May 21 04:10:10 IST 2025","passed","Wed May 21 04:10:25 IST 2025","","BootstrapDropdown.spec.js","",""
"","8499","Checking Browser Title and URL - Practice Test Automation","firefox","Wed May 21 04:13:50 IST 2025","passed","Wed May 21 04:13:59 IST 2025","","Practice2.spec.js","",""
"","10062","Login Test - Practice Expand Testing","chromium","Wed May 21 04:10:45 IST 2025","passed","Wed May 21 04:10:55 IST 2025","","Practice2.spec.js","",""
"","16712","AutoSuggest DropDown - Google Search","webkit","Wed May 21 04:16:00 IST 2025","passed","Wed May 21 04:16:17 IST 2025","","AutoSuggestDropdown.spec.js","",""
"","5003","JS Prompt – enter text, click OK, and validate","chromium","Wed May 21 04:10:43 IST 2025","passed","Wed May 21 04:10:48 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","7962","Checking Browser Title","chromium","Wed May 21 04:10:01 IST 2025","passed","Wed May 21 04:10:09 IST 2025","","00_HomePage.spec.js","",""
"","4997","Test2","chromium","Wed May 21 04:11:02 IST 2025","passed","Wed May 21 04:11:07 IST 2025","","Reports.spec.js","",""
"","10908","Checking Browser Title","firefox","Wed May 21 04:11:31 IST 2025","passed","Wed May 21 04:11:42 IST 2025","","00_Practice.spec.js","",""
"","30594","radio button count 2","firefox","Wed May 21 04:13:38 IST 2025","broken","Wed May 21 04:14:09 IST 2025","","RadioButtonCount.spec.js","",""
"","30254","Opencart Resgister","firefox","Wed May 21 04:11:46 IST 2025","broken","Wed May 21 04:12:16 IST 2025","","BuiltinPractice.spec.js","",""
"","30607","Checking Browser Title and URL - Practice Expand Testing","webkit","Wed May 21 04:16:55 IST 2025","broken","Wed May 21 04:17:26 IST 2025","","Practice2.spec.js","",""
"","8383","Assertion Test","chromium","Wed May 21 04:10:02 IST 2025","passed","Wed May 21 04:10:10 IST 2025","","Assertions.spec.js","",""
"","24196","YPage screenshot","webkit","Wed May 21 04:17:25 IST 2025","passed","Wed May 21 04:17:49 IST 2025","","YoutubeScreenshot.spec.js","",""
"","30125","Checkboxes – In Playwright","firefox","Wed May 21 04:11:52 IST 2025","broken","Wed May 21 04:12:22 IST 2025","","Checkboxes.spec.js","",""
"","3916","Page screenshot","webkit","Wed May 21 04:17:21 IST 2025","passed","Wed May 21 04:17:25 IST 2025","","Screenshots.spec.js","",""
"","5681","radio button count 2","chromium","Wed May 21 04:10:55 IST 2025","passed","Wed May 21 04:11:01 IST 2025","","RadioButtonCount.spec.js","",""
"","7673","Assertion Test","webkit","Wed May 21 04:16:03 IST 2025","passed","Wed May 21 04:16:10 IST 2025","","Assertions.spec.js","",""
"","5799","Links Test","firefox","Wed May 21 04:12:51 IST 2025","passed","Wed May 21 04:12:57 IST 2025","","LinksAndProductsTest.spec.js","",""
"","11017","Test2","firefox","Wed May 21 04:14:35 IST 2025","passed","Wed May 21 04:14:46 IST 2025","","Reports.spec.js","",""
"","9911","Dropdown FB Test","chromium","Wed May 21 04:10:25 IST 2025","passed","Wed May 21 04:10:35 IST 2025","","FBDropdowns.spec.js","",""
"","6144","Reddif Login - Username Alert","firefox","Wed May 21 04:14:13 IST 2025","passed","Wed May 21 04:14:19 IST 2025","","ReddifAlerts.spec.js","",""
"","13149","Dropdown FB Test","webkit","Wed May 21 04:16:20 IST 2025","passed","Wed May 21 04:16:33 IST 2025","","FBDropdowns.spec.js","",""
"","20237","Hidden Dropdown Test","webkit","Wed May 21 04:16:34 IST 2025","passed","Wed May 21 04:16:54 IST 2025","","HiddenDropdown.spec.js","",""
"","5908","Checking Browser Title","firefox","Wed May 21 04:11:23 IST 2025","passed","Wed May 21 04:11:28 IST 2025","","00_HomePage.spec.js","",""
"","4877","Login Test - Practice Test Automation","chromium","Wed May 21 04:10:48 IST 2025","passed","Wed May 21 04:10:53 IST 2025","","Practice2.spec.js","",""
"","2052","get started link","chromium","Wed May 21 04:10:25 IST 2025","passed","Wed May 21 04:10:27 IST 2025","","example.spec.js","",""
"","15576","AutoSuggest DropDown - Google Search","chromium","Wed May 21 04:10:02 IST 2025","passed","Wed May 21 04:10:17 IST 2025","","AutoSuggestDropdown.spec.js","",""
"","6421","JS Alert – validate alert text and click OK","webkit","Wed May 21 04:16:44 IST 2025","passed","Wed May 21 04:16:51 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","2030","has title","webkit","Wed May 21 04:16:18 IST 2025","passed","Wed May 21 04:16:20 IST 2025","","example.spec.js","",""
"","6695","Login Test - Practice Test Automation","firefox","Wed May 21 04:13:31 IST 2025","passed","Wed May 21 04:13:38 IST 2025","","Practice2.spec.js","",""
"","33402","YPage screenshot","firefox","Wed May 21 04:14:44 IST 2025","broken","Wed May 21 04:15:17 IST 2025","","YoutubeScreenshot.spec.js","",""
"","7489","Multi Select Dropdown Test","chromium","Wed May 21 04:10:37 IST 2025","passed","Wed May 21 04:10:45 IST 2025","","MultiSelectDropdown.spec.js","",""
"","30924","Dropdown Test","firefox","Wed May 21 04:12:04 IST 2025","broken","Wed May 21 04:12:35 IST 2025","","DropdownsTest.spec.js","",""
"","22775","YElement screenshot","webkit","Wed May 21 04:17:42 IST 2025","passed","Wed May 21 04:18:05 IST 2025","","YoutubeScreenshot.spec.js","",""
"","5786","Reddif Login - Password Alert","chromium","Wed May 21 04:10:57 IST 2025","passed","Wed May 21 04:11:02 IST 2025","","ReddifAlerts.spec.js","",""
"","4313","Links Test","webkit","Wed May 21 04:16:37 IST 2025","passed","Wed May 21 04:16:42 IST 2025","","LinksAndProductsTest.spec.js","",""
"","23328","YFull page screenshot","firefox","Wed May 21 04:14:50 IST 2025","passed","Wed May 21 04:15:13 IST 2025","","YoutubeScreenshot.spec.js","",""
"","33086","Radio Button Test","firefox","Wed May 21 04:13:48 IST 2025","broken","Wed May 21 04:14:21 IST 2025","","RadioButtonDemo.spec.js","",""
"","13641","Handle iframes in Playwright - Drag & Drop","firefox","Wed May 21 04:13:13 IST 2025","passed","Wed May 21 04:13:26 IST 2025","","iFrameTestDemo.spec.js","",""
"","23782","Full page screenshot","firefox","Wed May 21 04:14:46 IST 2025","passed","Wed May 21 04:15:10 IST 2025","","Screenshots.spec.js","",""
"","7037","JS Alert – validate alert text and click OK","firefox","Wed May 21 04:13:10 IST 2025","passed","Wed May 21 04:13:17 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","13831","Links and Products Test","firefox","Wed May 21 04:12:45 IST 2025","passed","Wed May 21 04:12:59 IST 2025","","LinksAndProductsTest.spec.js","",""
"","5830","Element screenshot","webkit","Wed May 21 04:17:24 IST 2025","passed","Wed May 21 04:17:30 IST 2025","","Screenshots.spec.js","",""
"","8806","has title","firefox","Wed May 21 04:12:33 IST 2025","passed","Wed May 21 04:12:42 IST 2025","","example.spec.js","",""
"","3326","get started link","webkit","Wed May 21 04:16:20 IST 2025","passed","Wed May 21 04:16:23 IST 2025","","example.spec.js","",""
"","7110","Checking Browser URL","webkit","Wed May 21 04:15:51 IST 2025","passed","Wed May 21 04:15:58 IST 2025","","00_Practice.spec.js","",""
"","4567","Full page screenshot","webkit","Wed May 21 04:17:23 IST 2025","passed","Wed May 21 04:17:28 IST 2025","","Screenshots.spec.js","",""
"","3664","Full page screenshot","chromium","Wed May 21 04:11:04 IST 2025","passed","Wed May 21 04:11:08 IST 2025","","Screenshots.spec.js","",""
"","8841","Dropdown Test","webkit","Wed May 21 04:16:11 IST 2025","passed","Wed May 21 04:16:20 IST 2025","","DropdownsTest.spec.js","",""
"","2491","Links Test","chromium","Wed May 21 04:10:36 IST 2025","passed","Wed May 21 04:10:39 IST 2025","","LinksAndProductsTest.spec.js","",""
"","5165","JS Confirm – click Cancel and verify result","firefox","Wed May 21 04:13:17 IST 2025","passed","Wed May 21 04:13:22 IST 2025","JavaScript Alert, Confirm, Prompt in Playwright","PopupAlerts.spec.js","",""
"","12655","Builtin Locators Test","chromium","Wed May 21 04:10:10 IST 2025","passed","Wed May 21 04:10:23 IST 2025","","BuiltinLocators.spec.js","",""
